,Unnamed: 0,idx_orig,z,ra,dec,spec_selection
918,918,1786,0.0968376724011742,35.72687739120676,-26.47282173751577,1
921,921,1797,0.1427061337921468,335.8041485642101,-27.865238254752608,1
925,925,1802,0.0820008217234401,255.4042655529761,43.17013574413821,1
930,930,1813,0.1244868759196909,162.98707184079095,35.8583885558137,1
940,940,1840,0.1145242675597883,256.30096466294685,69.69756868895435,1
942,942,1843,0.0348375985346806,103.55297264644948,6.048569262452878,1
946,946,1851,0.0503618539497555,183.78051228451244,7.546507033236755,1
948,948,1853,0.0695690316666502,293.8085768443757,3.979124450204347,1
954,954,1863,0.0979374002398544,358.3448499568908,39.46979056508284,1
956,956,1868,0.1048185435482549,198.86958612175425,29.28592340019046,1
957,957,1869,0.0482868064361866,196.7143808367674,46.279495622238095,1
