color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
brown,5,clustering,0.0,0.0,70.35371928899539,4.64431828084217,0.06573855716910108,-0.07563456316313273
brown,5,clustering,0.0,0.0,70.24738354221004,4.682367421888448,0.04285212751329114,-0.02026904045122032
brown,5,clustering,0.0,0.0,70.18402068308137,4.9605990573051075,0.007155877893183722,0.012260164903157225
brown,5,clustering,0.0,0.0,70.02047027739353,5.010163311384506,0.0387257983117179,0.03598617776729021
brown,5,clustering,0.0,0.0,70.24019387505186,4.875695531148408,-0.03419700606317819,-0.036089750852428104
brown,5,clustering,0.0,0.0,70.36517677408996,4.653348423189028,-0.02177603043756104,-0.0953065684675741
brown,5,clustering,0.0,0.0,70.06635133425101,4.788402351325627,0.011436218628694388,0.008768165001064695
brown,5,clustering,0.0,0.0,70.49929245165455,4.64415642935806,0.015808940804095874,-0.13202801886792004
brown,5,clustering,0.0,0.0,70.26066696781308,4.796639202225065,0.006677886205815651,-0.07548467002671301
brown,5,clustering,0.0,0.0,70.39499684610234,4.6305498555359765,0.048544682965634814,-0.10901695468870583
pink,5,clustering,330.0,-29.999999999999996,71.1715588568249,4.762682911130753,-0.4831097921505748,-0.6129910473693262
pink,5,clustering,330.0,-29.999999999999996,71.09970657679693,4.758053552217167,-0.5050955596607257,-0.5575834755321444
pink,5,clustering,330.0,-29.999999999999996,71.09634871298888,5.015077209193628,-0.5055487978754268,-0.5266018474764251
pink,5,clustering,330.0,-29.999999999999996,70.8688639692643,4.860667898677123,-0.46908923172079864,-0.47908676288859336
pink,5,clustering,330.0,-29.999999999999996,71.05535215939162,5.102273089386641,-0.5512258877786524,-0.5451698322711095
pink,5,clustering,330.0,-29.999999999999996,71.24015674761458,5.158233504680848,-0.5860720203723726,-0.6277827762696515
pink,5,clustering,330.0,-29.999999999999996,71.00342708977507,4.852347715516859,-0.5216041163023606,-0.5282120147758235
pink,5,clustering,330.0,-29.999999999999996,71.25736450368548,4.979015842043788,-0.5417996417604287,-0.6298875984793362
pink,5,clustering,330.0,-29.999999999999996,71.13471089801261,5.024829363788403,-0.5189803435761436,-0.5830876040057638
pink,5,clustering,330.0,-29.999999999999996,71.19304987785765,4.8638564093710945,-0.5047070711731607,-0.645590982021336
orange,5,clustering,100.0,-25.0,71.24232473690176,-5.462267257560294,-1.3552159983914447,0.48000965450416944
orange,5,clustering,100.0,-25.0,71.04810304453763,-5.205593669474165,-1.3619488553784889,0.4277595626255675
orange,5,clustering,100.0,-25.0,70.97266398637196,-4.9365176099261125,-1.4090164703369923,0.4101092755241304
orange,5,clustering,100.0,-25.0,70.96716493498538,-5.053222719313811,-1.4324662288675711,0.3770495274826975
orange,5,clustering,100.0,-25.0,71.026758849875,-4.904573871720142,-1.375992558257159,0.4786486569916852
orange,5,clustering,100.0,-25.0,71.26918127651003,-5.026606331613362,-1.354902542200977,0.49877524908490317
orange,5,clustering,100.0,-25.0,70.90393128160797,-5.027624645333937,-1.397320224491393,0.3845976575585681
orange,5,clustering,100.0,-25.0,71.28434040306207,-5.336688390471135,-1.3387925902658286,0.5601376244823001
orange,5,clustering,100.0,-25.0,71.25824672462656,-5.149496898105584,-1.3759044438429686,0.5000356137369244
orange,5,clustering,100.0,-25.0,71.32382269559125,-5.39883888596315,-1.344380792291491,0.492108081937291
red,5,clustering,-135.0,-52.0,71.54249436209159,-5.185072070374987,0.6449308515720134,0.9301031132462165
red,5,clustering,-135.0,-52.0,71.42705229610685,-4.914823060753085,0.6983543449423361,0.9025481162961492
red,5,clustering,-135.0,-52.0,71.43834023110901,-4.891212124073028,0.7801221201611761,0.9165451538294018
red,5,clustering,-135.0,-52.0,71.34396519850996,-4.540190145912326,0.7566335701384909,0.9154993332186092
red,5,clustering,-135.0,-52.0,71.43056696128005,-5.141372715610028,0.812544154860339,0.9136010466283015
red,5,clustering,-135.0,-52.0,71.57801129958577,-5.459605398251117,0.7682428068639398,0.9208483849292344
red,5,clustering,-135.0,-52.0,71.48675037672834,-4.834938250125857,0.7443082603414485,0.890848866594664
